City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
praya,40,ID,1554183000,59,-8.71,116.27,89.6,6.93
la libertad,0,PE,1554181200,71,-16.38,-71.56,53.6,3.36
rikitea,0,PF,1554183133,100,-23.12,-134.97,75.95,16.84
hobart,75,AU,1554182955,48,-42.88,147.33,66.99,11.41
mareeba,32,AU,1554182844,77,-16.99,145.42,80.01,3
cape town,0,ZA,1554183665,62,-33.93,18.42,60.01,3.36
ramachandrapuram,40,IN,1554181200,50,16.83,82.03,95,8.05
komsomolskiy,88,RU,1554183163,95,67.55,63.78,26.09,19.53
east london,75,ZA,1554181200,72,-33.02,27.91,59,5.82
hermanus,0,ZA,1554182165,57,-34.42,19.24,55,1.01
ribeira grande,36,PT,1554183681,99,38.52,-28.7,59.48,21.88
tura,0,IN,1554183351,83,25.52,90.21,76.58,4.32
saint-philippe,1,CA,1554183144,68,45.36,-73.48,32,16.11
albany,20,US,1554182946,53,42.65,-73.75,28,2.3
talara,56,PE,1554183479,75,-4.58,-81.27,72.71,1.52
esso,88,RU,1554183682,84,55.93,158.7,23.66,2.64
aripuana,0,BR,1554183682,92,-9.17,-60.63,76.67,2.19
tasiilaq,88,GL,1554180600,58,65.61,-37.64,26.6,17.22
anadyr,75,RU,1554183146,88,64.73,177.51,32,29.08
bambous virieux,40,MU,1554183541,74,-20.34,57.76,84.2,3.36
mehamn,75,NO,1554180600,80,71.03,27.85,30.2,16.11
ushuaia,40,AR,1554181200,87,-54.81,-68.31,50,8.05
busselton,36,AU,1554183140,26,-33.64,115.35,77,5.77
jose de freitas,75,BR,1554181200,94,-4.76,-42.58,75.2,4.7
bredasdorp,44,ZA,1554183115,89,-34.53,20.04,54,1.01
cidreira,32,BR,1554183166,86,-30.17,-50.22,71.09,9.69
mataura,92,NZ,1554183007,77,-46.19,168.86,54,4
hilo,90,US,1554183122,78,19.71,-155.08,73.4,8.05
airai,76,TL,1554183174,76,-8.93,125.41,77.3,2.42
nacala,0,MZ,1554183684,93,-14.56,40.69,80.9,8.68
pemberton,48,AU,1554183452,53,-34.44,116.03,75.99,5.01
la sarre,56,CA,1554183685,75,48.8,-79.2,23.93,9.46
polewali,36,ID,1554183685,86,-4.03,119.8,83.96,7.78
tautira,40,PF,1554183141,74,-17.73,-149.15,84.2,4.7
upernavik,0,GL,1554183197,99,72.79,-56.15,8.81,3.76
santa maria da boa vista,0,BR,1554183685,91,-8.8,-39.83,70.28,5.21
acapulco,5,MX,1554180300,78,16.86,-99.88,77,4.7
mar del plata,20,AR,1554183686,53,-46.43,-67.52,64.52,25.9
pavlodar,0,KZ,1554181200,40,52.28,76.96,51.8,11.18
shimoda,20,JP,1554181320,35,34.7,138.93,59,14.99
grindavik,20,IS,1554182515,68,63.84,-22.43,28.99,24.16
waipawa,64,NZ,1554183136,77,-39.94,176.59,55,9.8
nikolskoye,0,RU,1554183036,74,59.7,30.79,39,11.18
faanui,92,PF,1554183232,100,-16.48,-151.75,85.13,5.99
port alfred,92,ZA,1554183505,94,-33.59,26.89,57.99,1.99
arraial do cabo,92,BR,1554183687,100,-22.97,-42.02,72.98,4.65
leningradskiy,12,RU,1554183271,94,69.38,178.42,18.71,12.26
butaritari,48,KI,1554183163,100,3.07,172.79,81.89,6.33
tuktoyaktuk,75,CA,1554181200,77,69.44,-133.03,5,10.29
souillac,75,FR,1554183132,100,45.6,-0.6,50,4.7
thompson,90,CA,1554177600,92,55.74,-97.86,23,12.75
saint-augustin,90,FR,1554183198,87,44.83,-0.61,54,5.82
saskylakh,20,RU,1554183176,96,71.97,114.09,30.5,11.92
puerto escondido,5,MX,1554180000,74,15.86,-97.07,78.8,6.55
develi,75,TR,1554182400,81,38.39,35.49,45,4.7
vaini,0,IN,1554181200,24,15.34,74.49,89.6,6.93
ancud,68,CL,1554181200,100,-41.87,-73.83,48.2,1.12
jamestown,0,AU,1554182987,47,-33.21,138.6,73.43,3.87
mongu,0,ZM,1554183689,48,-15.27,23.14,72.08,5.1
ayan,20,TR,1554183689,67,40.67,33.6,36.17,3.2
puerto ayora,32,EC,1554178525,92,-0.74,-90.35,78.01,5.32
larsnes,75,NO,1554183602,41,62.2,5.58,39.99,24.16
longyearbyen,75,NO,1554180600,71,78.22,15.63,8.6,8.05
aksarka,24,RU,1554183690,91,66.56,67.8,23.93,14.72
yellowknife,40,CA,1554183124,66,62.45,-114.38,12.2,16.11
lompoc,90,US,1554183044,87,34.64,-120.46,59,5.82
portland,90,US,1554183664,62,45.52,-122.67,57.2,6.93
oksfjord,40,NO,1554182706,63,70.24,22.35,30.2,17.22
mount gambier,0,AU,1554181200,31,-37.83,140.78,77,13.87
arua,0,UG,1554183691,84,3.02,30.91,75.77,3.76
huarmey,88,PE,1554183195,89,-10.07,-78.15,65.06,3.09
bonavista,0,CA,1554183026,79,48.65,-53.11,30.99,24
itarema,76,BR,1554183208,100,-2.92,-39.92,73.61,4.21
tabas,68,IR,1554181200,29,33.6,56.92,75.2,4.7
college,1,US,1554183664,52,64.86,-147.8,44.6,4.7
saint george,0,GR,1554183197,61,39.45,22.34,50,5.82
pijao,40,CO,1554181200,100,4.33,-75.7,66.2,1.97
langenburg,44,CA,1554183692,88,50.84,-101.7,30.95,12.71
vega de alatorre,92,MX,1554183693,92,20.03,-96.65,62.09,6.78
provideniya,90,RU,1554181200,100,64.42,-173.23,32,6.71
punta arenas,75,CL,1554183146,93,-53.16,-70.91,51.8,13.87
laguna,12,MX,1554183125,61,27.52,-110.01,61.19,2.19
victoria,75,BN,1554179400,62,5.28,115.24,89.6,4.7
takoradi,8,GH,1554183273,100,4.89,-1.75,80.99,5.66
erdenet,0,MN,1554183694,25,49.03,104.04,55.25,3.65
simplicio mendes,64,BR,1554183694,93,-7.85,-41.91,69.38,2.86
atuona,80,PF,1554183137,100,-9.8,-139.03,81.89,10.8
saint-pierre,88,FR,1554183125,71,48.95,4.24,51.8,12.75
quimper,90,FR,1554183424,93,48,-4.1,48.99,10.29
kysyl-syr,36,RU,1554183694,58,63.9,122.77,36.53,5.55
pimentel,76,BR,1554183353,96,-3.7,-45.5,74.33,2.3
iquitos,75,PE,1554181200,88,-3.75,-73.25,77,5.82
coquimbo,90,CL,1554181200,87,-29.95,-71.34,59,4.7
svetlaya,24,RU,1554183243,91,46.54,138.33,32.12,4.76
ketchikan,1,US,1554180960,61,55.34,-131.65,48.2,9.17
ylivieska,12,FI,1554183605,81,64.07,24.53,36,1.99
edd,12,ER,1554183695,65,13.93,41.69,78.02,3.76
southbridge,1,US,1554183619,50,42.08,-72.03,30.2,2.42
kaitangata,92,NZ,1554183115,69,-46.28,169.85,53.01,7
port lincoln,24,AU,1554183696,69,-34.72,135.86,73.25,11.48
ponta do sol,0,BR,1554183696,90,-20.63,-46,60.56,3.2
quatre cocos,40,MU,1554183541,74,-20.21,57.76,84.2,3.36
vanavara,20,RU,1554183696,54,60.35,102.28,37.07,9.13
iqaluit,40,CA,1554183121,64,63.75,-68.52,-2.01,12.75
castro,88,CL,1554181200,100,-42.48,-73.76,48.2,1.12
shubarkuduk,92,KZ,1554183697,76,49.15,56.49,45.44,16.28
miguel hidalgo,20,MX,1554183140,24,19.41,-99.19,68,9.17
pisco,40,PE,1554181200,83,-13.71,-76.2,69.8,3.36
mezen,48,RU,1554183698,73,65.85,44.24,30.59,9.8
haputale,40,LK,1554181800,59,6.77,80.96,89.6,5.82
blackpool,75,IE,1554181200,93,51.91,-8.47,35.6,6.93
cap-chat,56,CA,1554183698,91,49.1,-66.68,29.06,26.13
kapaa,90,US,1554183105,83,22.08,-159.32,73.4,9.17
butzow,0,DE,1554183692,59,52.49,12.6,39,11.41
kiama,0,AU,1554183439,56,-34.67,150.86,71.01,12.75
bandarbeyla,92,SO,1554183255,100,9.49,50.81,78.74,3.65
weihai,92,CN,1554183636,72,37.5,122.11,55.99,8.46
norman wells,90,CA,1554181200,79,65.28,-126.83,21.2,5.82
sept-iles,20,CA,1554183137,52,50.2,-66.38,23,5.82
geraldton,90,CA,1554181200,68,49.72,-86.95,28.4,9.17
dakar,0,SN,1554181200,82,14.69,-17.45,68,19.46
tiarei,40,PF,1554183141,74,-17.53,-149.33,84.2,4.7
bluff,0,AU,1554183170,36,-23.58,149.07,85.49,12.71
bauta,20,CU,1554182542,93,22.98,-82.55,66.2,1.12
ahipara,12,NZ,1554183700,90,-35.17,173.16,64.52,13.94
zavodouspenskoye,0,RU,1554181200,64,56.86,65.02,37.4,8.95
nome,1,US,1554183118,87,30.04,-94.42,48,2.86
caravelas,68,BR,1554183187,100,-17.73,-39.27,79.91,7.34
griffith,40,AU,1554183316,31,-34.29,146.06,81,8.05
sawtell,75,AU,1554183501,88,-30.38,153.1,75,10.29
qaanaaq,0,GL,1554183131,74,77.48,-69.36,-7.39,7.11
new norfolk,20,AU,1554183680,48,-42.78,147.06,66,11.41
severo-kurilsk,76,RU,1554183138,96,50.68,156.12,31.13,10.58
lebu,75,ET,1554181200,59,8.96,38.73,64.4,6.93
nanortalik,92,GL,1554183293,100,60.14,-45.24,29.69,33.96
savelugu,8,GH,1554183702,77,9.63,-0.83,77.3,8.23
kurumkan,68,RU,1554183703,79,54.33,110.32,26.99,3.2
kawalu,92,ID,1554183703,86,-7.38,108.21,73.7,2.98
namatanai,44,PG,1554183703,97,-3.66,152.44,83.69,9.69
port elizabeth,1,US,1554183680,73,39.31,-74.98,37.4,2.98
torbay,90,CA,1554183134,80,47.66,-52.73,32,29.97
lobito,0,AO,1554183704,83,-12.35,13.55,71,3.2
martapura,40,ID,1554181200,70,-3.41,114.85,87.8,5.82
dikson,80,RU,1554183256,100,73.51,80.55,25.01,25.79
chokurdakh,44,RU,1554183164,84,70.62,147.9,11.06,14.05
tiksi,12,RU,1554183141,82,71.64,128.87,21.14,3.98
prachuap khiri khan,24,TH,1554183705,100,11.81,99.79,79.55,2.42
codrington,40,AU,1554183236,93,-28.95,153.24,68,10.29
farmington,1,US,1554183413,45,36.73,-108.21,45,4.7
algiers,90,US,1554183691,54,29.94,-90.04,59,3.36
barrow,88,AR,1554183159,85,-38.31,-60.23,71.45,12.59
seydi,0,NE,1554183705,27,13.34,7.75,71.36,10.69
narsaq,92,GL,1554183291,91,60.91,-46.05,31.04,8.79
sao filipe,0,CV,1554183706,100,14.9,-24.5,69.38,12.48
bubaque,36,GW,1554183706,100,11.28,-15.83,78.38,13.49
damghan,0,IR,1554183706,54,36.17,54.34,56.69,19.53
santa cruz de tenerife,75,ES,1554183620,100,28.47,-16.25,61,4.7
road town,1,VG,1554183565,88,18.42,-64.62,78.01,5.82
sibiti,92,CG,1554183707,93,-3.69,13.35,74.24,3.31
west wendover,90,US,1554180960,53,40.74,-114.07,51.8,4.7
krasnovishersk,48,RU,1554183707,97,60.4,57.08,27.44,7.67
martinho campos,0,BR,1554183707,88,-19.33,-45.24,66.14,0.29
kashan,0,IR,1554181200,23,33.99,51.44,62.6,6.93
vila velha,75,BR,1554183488,88,-3.71,-38.6,77,4.7
rawson,0,AR,1554183708,41,-43.3,-65.11,72.98,20.65
luderitz,0,NA,1554183169,83,-26.65,15.16,56.96,14.72
hithadhoo,32,MV,1554183190,100,-0.6,73.08,83.69,9.01
seoul,1,KR,1554181800,13,37.57,126.98,53.6,4.7
tucuman,24,PE,1554183709,85,-17.17,-70.89,53.45,1.3
boyolangu,92,ID,1554183709,86,-8.09,111.9,78.56,3.98
port-gentil,40,GA,1554181200,100,-0.72,8.78,78.8,4.7
los llanos de aridane,75,ES,1554183660,87,28.66,-17.92,55.4,4.7
taoudenni,0,ML,1554183235,46,22.68,-3.98,55.61,2.86
mahebourg,40,MU,1554182941,74,-20.41,57.7,84.2,3.36
izacic,8,BA,1554183643,91,44.88,15.78,39.99,1.97
koungheul,20,SN,1554183710,45,13.98,-14.8,76.76,10.47
presidente medici,24,BR,1554183710,96,-11.18,-61.9,72.98,4.09
jaleswar,20,IN,1554183598,64,21.8,87.22,92.06,8.68
noshiro,75,JP,1554181740,55,40.21,140.05,39.2,19.46
tuatapere,92,NZ,1554183007,77,-46.13,167.69,54,4
ilulissat,36,GL,1554180600,44,69.22,-51.1,17.6,14.99
tysmenytsya,0,UA,1554183352,68,48.9,24.84,42.01,2.24
mogadishu,75,SO,1554181200,66,2.04,45.34,86,13.87
kenai,1,US,1554183423,80,60.55,-151.26,37.4,4.7
kahului,40,US,1554182981,65,20.89,-156.47,77,12.75
okha,44,RU,1554183712,97,53.59,142.95,26.18,11.03
dawson creek,1,CA,1554181200,74,55.76,-120.23,39.2,5.82
katsuura,75,JP,1554181455,35,33.93,134.5,55.4,17.22
eureka,90,US,1554183220,100,40.8,-124.16,55,2.98
bani,8,PH,1554183713,71,15.89,120.27,85.4,4.09
clyde river,90,CA,1554181200,84,70.47,-68.59,1.4,24.16
onega,88,RU,1554183713,91,63.91,38.09,28.61,12.15
cherskiy,88,RU,1554183206,77,68.75,161.3,32.75,7
port shepstone,80,ZA,1554183714,86,-30.74,30.45,69.2,11.03
panjakent,36,UZ,1554181200,55,39.5,67.61,64.4,9.17
teya,40,MX,1554183034,83,21.05,-89.07,78.01,8.05
saldanha,12,PT,1554183195,87,41.42,-6.55,38.6,1.07
merauke,92,ID,1554183714,100,-8.49,140.4,79.55,7.45
champerico,5,MX,1554180000,73,16.38,-93.6,71.6,6.93
maningrida,88,AU,1554183715,80,-12.05,134.23,85.67,15.73
kosino,0,RU,1554183715,98,58.41,51.28,27.53,4.76
cheyenne,90,US,1554183395,68,41.14,-104.82,41,6.93
treuchtlingen,0,DE,1554183620,69,48.96,10.91,39.99,6.93
carnarvon,8,ZA,1554183153,67,-30.97,22.13,43.1,11.25
axim,8,GH,1554183716,98,4.87,-2.24,82.79,9.01
auki,0,NG,1554183716,27,12.18,6.51,70.91,10.92
teguise,40,ES,1554181200,82,29.06,-13.56,64.4,14.99
opuwo,0,NA,1554183428,81,-18.06,13.84,62,4.43
porto novo,75,BR,1554181200,93,-23.68,-45.44,66.2,2.24
peniche,20,PT,1554183681,93,39.36,-9.38,53.01,2.24
juneau,1,US,1554180960,70,58.3,-134.42,42.8,4.76
hamilton,75,CA,1554183038,80,43.26,-79.87,33.8,10.29
morondava,48,MG,1554183717,81,-20.3,44.28,81.08,3.2
georgetown,0,GY,1554181200,100,6.8,-58.16,71.6,4.7
alofi,20,NU,1554181200,74,-19.06,-169.92,78.8,6.93
shirokiy,12,RU,1554183655,75,53.87,39.17,35.01,5.99
nuuk,92,GL,1554180600,92,64.17,-51.74,26.6,20.8
zabol,0,IR,1554181200,33,31.03,61.49,75.2,4.7
kruisfontein,80,ZA,1554183189,94,-34,24.73,57.23,4.99
belmonte,32,PT,1554183149,93,40.36,-7.35,39,2.75
nichinan,20,JP,1554183144,25,31.65,131.31,62.6,14.99
vila franca do campo,40,PT,1554183707,71,37.72,-25.43,55.4,21.92
hofn,0,IS,1554183203,100,64.25,-15.21,35,35.75
klaksvik,68,FO,1554180600,92,62.23,-6.59,30.2,1.12
rio gallegos,90,AR,1554181200,87,-51.62,-69.22,55.4,18.34
staroderevyankovskaya,64,RU,1554183719,73,46.13,38.96,48.32,8.9
bowling green,1,US,1554183718,52,36.99,-86.44,43,3.65
alice springs,0,AU,1554181200,14,-23.7,133.88,82.4,11.41
talnakh,0,RU,1554183278,90,69.49,88.39,22.85,7.56
kalmunai,0,LK,1554183720,65,7.42,81.82,90.53,4.88
talaya,40,RU,1554183620,60,55.79,84.89,43,17.9
cururupu,92,BR,1554183720,98,-1.82,-44.87,73.7,2.42
kijang,0,KR,1554181200,19,35.24,129.21,55.4,9.17
kavaratti,68,IN,1554183721,100,10.57,72.64,84.32,11.7
neryungri,0,RU,1554183721,56,56.66,124.71,29.06,4.32
avarua,0,CK,1554181200,69,-21.21,-159.78,80.6,13.87
acari,24,BR,1554183721,95,-6.44,-36.64,69.56,3.87
ofunato,75,JP,1554181560,93,39.11,141.75,35.6,4.7
mastic beach,1,US,1554183718,68,40.77,-72.85,35.01,4.21
iquique,90,CL,1554181200,68,-20.22,-70.14,68,9.17
broome,20,GB,1554183679,93,52.47,1.45,43,5.82
karratha,0,AU,1554183722,22,-20.74,116.85,102.59,8.57
velikiy ustyug,0,RU,1554183723,85,60.76,46.3,27.53,4.99
kloulklubed,75,PW,1554180600,74,7.04,134.26,84.2,11.41
kulhudhuffushi,32,MV,1554183723,100,6.62,73.07,82.79,3.42
bethel,1,US,1554180960,70,60.79,-161.76,44.6,5.82
bilma,0,NE,1554183723,34,18.69,12.92,64.25,2.86
galveston,1,US,1554183655,64,40.58,-86.19,39.2,5.82
haukipudas,0,FI,1554183079,80,65.17,25.5,34,10.29
sao joao da barra,0,BR,1554183724,100,-21.64,-41.05,76.49,12.03
novoseleznevo,0,RU,1554183724,94,55.68,69.21,36.08,7.9
ouesso,92,CG,1554183724,100,1.61,16.05,71.9,2.98
khani,90,GE,1554181200,93,41.96,42.96,44.6,4.7
nurota,92,UZ,1554181200,48,40.56,65.69,62.6,29.97
lumeje,0,AO,1554183725,54,-11.56,20.78,69.83,2.75
nemuro,20,JP,1554181200,59,43.32,145.57,33.8,11.41
carutapera,92,BR,1554183725,99,-1.2,-46.02,75.86,2.42
yumen,12,CN,1554183174,33,40.29,97.04,61.64,5.66
kodiak,75,US,1554183124,35,39.95,-94.76,45,10.29
beringovskiy,92,RU,1554183178,98,63.05,179.32,30.86,12.48
daye,92,CN,1554183726,100,30.1,114.98,52.46,10.36
marakkanam,40,IN,1554183000,62,12.2,79.95,89.6,3.36
newport,90,GB,1554183617,93,51.59,-3,46,16.11
innisfail,75,CA,1554183316,69,52.02,-113.95,35.6,4.7
camopi,56,GF,1554183727,83,3.17,-52.33,75.32,2.98
ippy,48,CF,1554183727,92,6.26,21.2,71.81,4.76
bauchi,0,NG,1554183727,42,10.31,9.85,64.07,4.76
mackenzie,1,CA,1554181200,75,55.34,-123.09,32,2.24
